Date,Open,High,Low,Close,Adj Close,Volume
2020/8/19,436,436.5,427.5,427.5,421.36496,31486800
2020/8/20,427,427.5,401,415,409.044373,75097235
2020/8/21,421.5,427,420,424.5,418.40802,41609467
2020/8/24,427.5,434.5,425,428,421.857788,48375406
2020/8/25,433.5,436,430.5,434.5,428.264526,35977899
2020/8/26,435.5,442,435,442,435.65686,39243340
2020/8/27,448,453.5,444,444,437.628174,53072712
2020/8/28,440,440.5,431,435,428.757324,56842210
2020/8/31,437,439.5,426.5,426.5,420.379303,81480538
2020/9/1,430,435,428,435,428.757324,37429577
2020/9/2,441,441,430.5,433,426.786041,34871407
2020/9/3,439.5,439.5,433.5,436,429.743011,34951617
2020/9/4,427,432.5,427,429,422.843445,46119911
2020/9/7,428,432.5,425,426,419.886505,32019312
2020/9/8,428,433,427.5,431,424.814728,23714670
2020/9/9,425,428,423,427,420.872131,40551362
2020/9/10,432.5,435,430.5,435,428.757324,35098921
2020/9/11,435.5,436.5,432.5,436.5,430.235809,34298469
2020/9/14,436,442,435.5,441,434.671234,39085833
2020/9/15,440.5,447,439.5,445,438.613831,39061449
2020/9/16,460,462,455.5,458,451.427246,64261238
2020/9/17,453,455,446.5,448.5,444.489868,42058506
2020/9/18,447,449.5,443,444,440.03009,52454922
2020/9/21,443.5,450,440,440,436.065857,39463920
2020/9/22,440,441,436,437,433.092682,36130639
2020/9/23,436,438.5,432,433.5,429.623993,45710963
2020/9/24,425.5,429,423,423,419.217865,79806381
2020/9/25,427,428,421,424,420.208923,38775269
2020/9/28,427,431.5,424.5,431.5,427.641876,34156973
2020/9/29,432.5,435,428,431,427.146332,32230502
2020/9/30,430.5,435,430.5,433,429.128448,27334204
2020/10/5,438,438,431.5,432.5,428.632904,32945832
2020/10/6,441.5,442,437.5,439.5,435.570343,35775395
2020/10/7,435,445,435,443,439.039032,42926239
2020/10/8,450,454,448.5,453,448.949646,60853811
2020/10/12,458,462,457.5,460,455.887024,64719223
2020/10/13,465,465,456.5,462,457.869141,45750738
2020/10/14,460.5,461,457,459,454.895996,40809241
2020/10/15,456,456.5,450,453,448.949646,47775028
2020/10/16,451,456,448.5,449,444.985382,46876801
2020/10/19,453,457.5,451,457.5,453.409393,34470906
2020/10/20,455.5,457,451,451,446.967499,25205638
2020/10/21,453.5,456,451,453,448.949646,28058921
2020/10/22,450,455,449.5,455,450.931732,23438547
2020/10/23,458,458,451.5,452,447.958557,18777385
2020/10/26,455,455,450,450,445.976471,15059581
2020/10/27,447.5,448.5,445.5,447,443.003296,20117660
2020/10/28,445,447,443,444,440.03009,24710230
2020/10/29,436.5,439.5,435.5,437,433.092682,41285612
